100th Date,Close,MACD_diff_pytorch,Decision MACD_pytorch,SMA20_pytorch,SMA50_pytorch,Signal_pytorch,Decision GC_pytorch,RSI_pytorch,SMA200_pytorch,Decision RSI/SMA_pytorch,Decision Financial Status,Date,Decision GC_transformers,Decision MACD_transformers,Decision RSI/SMA_transformers,MACD_diff_transformers,RSI_transformers,SMA200_transformers,SMA20_transformers,SMA50_transformers,Signal_transformers
2018-01-29,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-01-30,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-01-31,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-01,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-02,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-05,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-06,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-07,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-08,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-09,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-12,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-13,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-14,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-15,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-16,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-20,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-21,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-22,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-23,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-26,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-27,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-02-28,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-01,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-02,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-05,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-06,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-07,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-08,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-09,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-12,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-13,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-14,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-15,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-16,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-19,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-20,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-21,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-22,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-23,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-26,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-27,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-28,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-03-29,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-04-02,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-04-03,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-04-04,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-04-05,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
